,Location,Time,PopTotal,PopDensity,Code_3_digits
153,Papua New Guinea,2020,8947.027,19.757,PNG
154,Paraguay,2020,7132.53,17.953,PRY
155,Peru,2020,32971.846,25.759,PER
156,Philippines,2020,109581.085,367.51199999999994,PHL
157,Poland,2020,37846.605,123.589,POL
158,Portugal,2020,10196.707,111.33,PRT
159,Puerto Rico,2020,2860.84,322.53,PRI
160,Qatar,2020,2881.06,248.153,QAT
161,Romania,2020,19237.682,83.58,ROU
162,Russian Federation,2020,145934.46,8.911,RUS
163,Rwanda,2020,12952.208999999999,525.019,RWA
164,Réunion,2020,895.308,358.12300000000005,REU
165,Saint Barthélemy,2020,9.885,449.31800000000004,BLM
166,Saint Kitts and Nevis,2020,53.192,204.585,KNA
167,Saint Lucia,2020,183.62900000000002,301.031,LCA
168,Saint Martin (French part),2020,38.659,729.415,MAF
169,Saint Pierre and Miquelon,2020,5.795,25.195999999999998,SPM
170,Saint Vincent and the Grenadines,2020,110.947,284.47900000000004,VCT
171,Samoa,2020,198.41,70.11,WSM
172,San Marino,2020,33.938,565.633,SMR
173,Sao Tome and Principe,2020,219.16099999999997,228.293,STP
174,Saudi Arabia,2020,34813.867,16.195,SAU
175,Senegal,2020,16743.93,86.96799999999999,SEN
176,Serbia,2020,8737.37,99.90100000000001,SRB
177,Seychelles,2020,98.34,213.783,SYC
178,Sierra Leone,2020,7976.985,110.515,SLE
179,Singapore,2020,5850.343000000001,8357.633,SGP
180,Sint Maarten (Dutch part),2020,42.882,1261.235,SXM
181,Slovakia,2020,5459.643,113.53399999999999,SVK
182,Slovenia,2020,2078.9320000000002,103.22399999999999,SVN
183,Solomon Islands,2020,686.878,24.54,SLB
184,Somalia,2020,15893.219,25.334,SOM
185,South Africa,2020,59308.69,48.891000000000005,ZAF
186,South Sudan,2020,11193.729,18.322,SSD
187,Spain,2020,46754.782999999996,93.735,ESP
188,Sri Lanka,2020,21413.25,341.465,LKA
189,Sudan,2020,43849.269,24.843000000000004,SDN
190,Suriname,2020,586.634,3.76,SUR
191,Sweden,2020,10099.27,24.612,SWE
192,Switzerland,2020,8654.618,219.016,CHE
193,Syrian Arab Republic,2020,17500.657,95.304,SYR
194,Tajikistan,2020,9537.642,68.145,TJK
195,Thailand,2020,69799.978,136.624,THA
196,Timor-Leste,2020,1318.442,88.665,TLS
197,Togo,2020,8278.737,152.211,TGO
198,Tokelau,2020,1.35,135.0,TKL
199,Tonga,2020,105.697,146.80100000000002,TON
200,Trinidad and Tobago,2020,1399.491,272.805,TTO
201,Tunisia,2020,11818.618,76.072,TUN
202,Turkey,2020,84339.067,109.584,TUR
203,Turkmenistan,2020,6031.187,12.834000000000001,TKM
204,Turks and Caicos Islands,2020,38.718,40.756,TCA
205,Tuvalu,2020,11.792,393.06699999999995,TUV
206,Uganda,2020,45741.0,228.922,UGA
207,Ukraine,2020,43733.759000000005,75.492,UKR
208,United Arab Emirates,2020,9890.4,118.306,ARE
209,United States of America,2020,331002.647,36.185,USA
210,Uruguay,2020,3473.7270000000003,19.848,URY
211,Uzbekistan,2020,33469.199,78.67699999999999,UZB
212,Vanuatu,2020,307.15,25.197,VUT
213,Venezuela (Bolivarian Republic of),2020,28435.943,32.238,VEN
214,Viet Nam,2020,97338.58300000001,313.925,VNM
215,Western Sahara,2020,597.33,2.246,ESH
216,Yemen,2020,29825.967999999997,56.492,YEM
217,Zambia,2020,18383.956000000002,24.73,ZMB
218,Zimbabwe,2020,14862.927,38.42,ZWE
